7,0,1.000617,1.0006170272827148,79640,636727.1219940851,0,14480,627226,236114,1500,false
7,1.000617,2.000294,0.9996770024299622,195480,1564345.279724051,0,57920,632077,13581,1500,false
7,2.000294,3.000817,1.0005229711532593,152040,1215684.2322150792,0,99912,627294,1406,1500,false
7,3.000817,4.00021,0.9993929862976074,1339400,10721708.223804904,0,399648,629007,1611,1500,false
7,4.00021,5.0001,0.9998900294303894,6082440,48664871.70366128,0,1598592,643288,505,1500,false
7,5.0001,6.000435,1.0003349781036377,6553600,52411243.381082915,0,3197184,690250,1440,1500,false
7,6.000435,7.000092,0.9996569752693176,6553600,52446790.546202265,0,9287472,741218,4160,1500,false
7,7.000092,8.000114,1.000022053718567,10485760,83884230.04079849,0,10147584,790968,189,1500,false
7,8.000114,9.000077,0.9999629855155945,11796480,94375333.25430101,0,10147584,700653,525,1500,false
7,9.000077,10.000201,1.0001239776611328,11796480,94360141.45035882,0,10147584,700842,551,1500,false
