7 0 1 0,0759506 0,60723 0 14,1406 627226 236114 1500 false
7 1 2 0,186424 1,49188 0 56,5625 632077 13581 1500 false
7 2 3 0,144997 1,15937 0 97,5703 627294 1406 1500 false
7 3 4 1,27735 10,225 0 390,281 629007 1611 1500 false
7 4 5 5,80067 46,4104 0 1561,12 643288 505 1500 false
7 5 6 6,25 49,9833 0 3122,25 690250 1440 1500 false
7 6 7 6,25 50,0172 0 9069,8 741218 4160 1500 false
7 7 8 10 79,9982 0 9909,75 790968 189 1500 false
7 8 9 11,25 90,0033 0 9909,75 700653 525 1500 false
7 9 10 11,25 89,9888 0 9909,75 700842 551 1500 false
