7 0 1 0,158806 1,26969 0 28,2812 385701 34549 1500 false
7 1 2 0,440514 3,5256 0 124,438 385690 245 1500 false
7 2 3 2,39314 19,1414 0 497,75 409212 9276 1500 false
7 3 4 11,25 90,0177 0 3743,02 456500 2719 1500 false
7 4 5 7,5 59,9984 0 6510,34 599344 7265 1500 false
7 5 6 8,75 69,9926 0 6968,5 681070 351 1500 false
7 6 7 10 80,0101 0 7477,56 729197 287 1500 false
7 7 8 10 80,0006 0 7988,04 776654 461 1500 false
7 8 9 8,75 69,9987 0 8193,08 820127 568 1500 false
7 9 10 10 80,0028 0 7972,48 848333 135 1500 false
7 10 11 8,75 69,9977 0 5808,97 773929 2398 1500 false
7 11 12 8,75 70,0021 0 6142,69 664530 246 1500 false
7 12 13 8,75 70,0001 0 5725,54 721455 415 1500 false
7 13 14 8,75 70,0003 0 4563,18 583343 1922 1500 false
7 14 15 8,75 69,9978 0 4763,98 552120 245 1500 false
7 15 16 7,5 60,0012 0 4922,35 583945 152 1500 false
7 16 17 7,5 60,0013 0 5051,03 607900 96 1500 false
7 17 18 8,75 69,9988 0 5178,3 626990 131 1500 false
7 18 19 6,25 49,9965 0 5256,07 639046 154 1500 false
7 19 20 8,75 70,0077 0 5325,36 647775 91 1500 false
